# Emin, Emax, emissivity [10-24 MeV2 s-1 sr-1 MeV-1], stat error, sys error
50.0, 64.0, 0.47, 0.02, 0.09
64.0, 82.0, 0.66, 0.02, 0.11
82.0, 105.0, 0.82, 0.02, 0.11
105.0, 134.0, 1.09, 0.01, 0.13
134.0, 172.0, 1.36, 0.01, 0.14
172.0, 220.0, 1.71, 0.01, 0.15
220.0, 281.0, 1.99, 0.01, 0.16
281.0, 360.0, 2.22, 0.01, 0.16
360.0, 461.0, 2.37, 0.01, 0.15
461.0, 589.0, 2.45, 0.01, 0.13
589.0, 754.0, 2.46, 0.01, 0.13
754.0, 965.0, 2.39, 0.01, 0.14
965.0, 1235.0, 2.29, 0.02, 0.14
1235.0, 1581.0, 2.12, 0.02, 0.14
1581.0, 2024.0, 1.97, 0.02, 0.14
2024.0, 2590.0, 1.7, 0.02, 0.13
2590.0, 3314.0, 1.42, 0.02, 0.13
3314.0, 4242.0, 1.2, 0.02, 0.12
4242.0, 5429.0, 1.02, 0.02, 0.11
5429.0, 6947.0, 0.83, 0.02, 0.1
6947.0, 8891.0, 0.67, 0.02, 0.09
8891.0, 11379.0, 0.55, 0.02, 0.07
11379.0, 14563.0, 0.45, 0.02, 0.06
14563.0, 18638.0, 0.36, 0.02, 0.05
18638.0, 30527.0, 0.31, 0.02, 0.03
30527.0, 50000.0, 0.2, 0.02, 0.02
