#Energy Emissivity
#
#Bremsstralhung component for PDDE model from Orlando 2018 MNRAS
91.0043815 2.97495e-25
109.2052578 3.05144e-25
131.04630936 3.11945e-25
157.255571232 3.17731e-25
188.706685478 3.22332e-25
226.448022574 3.25656e-25
271.737627089 3.2755e-25
326.085152507 3.27725e-25
391.302183008 3.25981e-25
469.56261961 3.21996e-25
563.475143532 3.15587e-25
676.170172238 3.06613e-25
811.404206686 2.94873e-25
973.685048023 2.80393e-25
1168.42205763 2.63152e-25
1402.10646915 2.43277e-25
1682.52776298 2.21159e-25
2019.03331558 1.97357e-25
2422.8399787 1.72663e-25
2907.40797444 1.47931e-25
3488.88956932 1.24008e-25
4186.66748319 1.0176e-25
5024.00097982 8.20302e-26
