Table 3
Z-factors  (mbarn) for Different Production Channels ij rarr gamma
 
Projectile Nucleus	Target Nucleus	alpha = 2	alpha = 2.2	alpha = 2.4	alpha = 2.6	alpha = 2.8	alpha = 3	
QGSJET-II-04: E_gamma = 10 GeV					
p (A = 1)	p	5.45	3.06	1.84	1.17	0.771	0.529	
He (A = 4)	p	22.4	12.6	7.62	4.85	3.22	2.21	
CNO (A = 14)	p	76.8	43.8	26.6	17.1	11.4	7.89	
Mg-Si (A = 25)	p	138	78.9	48.2	31.0	20.7	14.4	
Fe (A = 56)	p	298	171	105	67.2	45.0	31.2	
p (A = 1)	He	19.7	10.9	6.48	4.07	2.68	1.83	
He (A = 4)	He	73.7	41.0	24.4	15.3	10.1	6.86	
CNO (A = 14)	He	271	152	91.2	57.7	38.1	26.1	
Mg-Si (A = 25)	He	473	266	160	101	66.8	45.7	
Fe (A = 56)	He	1010	569	342	216	143	97.5	
QGSJET-II-04: E_gamma = 100 GeV					
p (A = 1)	p	5.93	3.20	1.86	1.14	0.736	0.492	
He (A = 4)	p	24.3	13.1	7.65	4.72	3.04	2.04	
CNO (A = 14)	p	83.3	45.4	26.6	16.5	10.7	7.21	
Mg-Si (A = 25)	p	149	81.7	48.0	29.8	19.4	13.1	
Fe (A = 56)	p	330	181	107	66.7	43.4	29.3	
p (A = 1)	He	20.7	11.0	6.33	3.85	2.45	1.63	
He (A = 4)	He	78.1	41.7	23.9	14.6	9.29	6.16	
CNO (A = 14)	He	285	153	88.6	54.3	34.9	23.3	
Mg-Si (A = 25)	He	506	273	159	97.7	63.0	42.2	
Fe (A = 56)	He	1100	596	346	213	137	92.1	
QGSJET-II-04: E_gamma = 1 TeV					
p (A = 1)	p	6.85	3.61	2.05	1.24	0.786	0.519	
He (A = 4)	p	28.4	15.0	8.51	5.14	3.26	2.14	
CNO (A = 14)	p	95.6	50.6	28.9	17.6	11.2	7.39	
Mg-Si (A = 25)	p	174	92.4	53.0	32.3	20.6	13.6	
Fe (A = 56)	p	378	202	117	71.3	45.7	30.5	
p (A = 1)	He	23.7	12.2	6.83	4.07	2.56	1.67	
He (A = 4)	He	89.2	46.1	25.8	15.4	9.66	6.31	
CNO (A = 14)	He	321	167	93.5	55.8	35.0	22.9	
Mg-Si (A = 25)	He	567	296	167	100	63.3	41.6	
Fe (A = 56)	He	1260	660	375	226	143	94.6	
EPOS-LHC: E_gamma = 10 GeV					
p (A = 1)	p	5.83	3.31	2.00	1.27	0.844	0.578	
He (A = 4)	p	26.0	15.0	9.27	6.00	4.04	2.82	
CNO (A = 14)	p	89.6	52.3	32.4	21.1	14.3	9.99	
Mg-Si (A = 25)	p	156	91.5	57.1	37.4	25.5	18.0	
Fe (A = 56)	p	342	203	128	84.6	58.2	41.4	
p (A = 1)	He	20.7	11.4	6.68	4.12	2.64	1.75	
He (A = 4)	He	82.5	46.3	27.7	17.5	11.5	7.79	
CNO (A = 14)	He	309	175	106	67.7	44.9	30.8	
Mg-Si (A = 25)	He	562	322	196	126	83.7	57.6	
Fe (A = 56)	He	1200	692	424	273	183	128	
EPOS-LHC: E_gamma = 100 GeV					
p (A = 1)	p	6.34	3.49	2.06	1.29	0.837	0.564	
He (A = 4)	p	26.6	14.9	9.01	5.75	3.84	2.66	
CNO (A = 14)	p	95.4	54.9	33.8	22.0	15.0	10.6	
Mg-Si (A = 25)	p	167	96.2	59.1	38.3	25.9	18.1	
Fe (A = 56)	p	373	216	134	87.9	60.0	42.4	
p (A = 1)	He	22.6	12.3	7.18	4.44	2.88	1.94	
He (A = 4)	He	86.5	47.2	27.7	17.2	11.2	7.60	
CNO (A = 14)	He	321	177	105	66.3	43.7	29.9	
Mg-Si (A = 25)	He	582	324	193	122	80.2	54.7	
Fe (A = 56)	He	1320	744	449	286	190	130	
EPOS-LHC: E_gamma = 1 TeV					
p (A = 1)	p	7.61	4.15	2.45	1.54	1.01	0.693	
He (A = 4)	p	31.1	17.3	10.3	6.51	4.31	2.96	
CNO (A = 14)	p	106	60.2	36.7	23.7	16.0	11.3	
Mg-Si (A = 25)	p	192	110	68.2	44.7	30.6	21.8	
Fe (A = 56)	p	433	253	159	105	73.6	53.1	
p (A = 1)	He	25.3	13.4	7.73	4.71	3.01	2.00	
He (A = 4)	He	98.3	53.1	31.0	19.2	12.5	8.44	
CNO (A = 14)	He	360	197	116	72.7	47.5	32.3	
Mg-Si (A = 25)	He	654	361	214	135	88.7	60.6	
Fe (A = 56)	He	1480	829	498	317	210	145	

